VIN,IIN,VOUT,IOUT,P_LOSS,EFF,D
74.895952,4.2824134,11.983482,25.366458,16.7569356,0.947754647,0.168821891
74.890128,4.3110226,11.983805,25.530696,16.89815195,0.947659925,0.168856446
74.883549,4.3259004,11.983374,25.613142,17.00691467,0.947499602,0.168893781
74.890559,4.3536448,11.98305,25.778246,17.14488203,0.947415901,0.168888325
74.887108,4.3679818,11.983913,25.858742,17.21661038,0.9473668,0.168917026
74.886138,4.3966562,11.983482,26.024714,17.38191116,0.947207335,0.168941576
74.885814,4.4112102,11.98305,26.106724,17.49888752,0.947027175,0.168968355
74.885706,4.4396682,11.983913,26.270532,17.64391761,0.946930429,0.168998032
74.883657,4.4540054,11.983697,26.352976,17.72613322,0.94685331,0.169013374
74.878265,4.4821606,11.983374,26.515268,17.87403603,0.946742664,0.169040743
74.879451,4.4972762,11.98305,26.598144,18.02668339,0.946469214,0.169082331
74.878157,4.5254964,11.983589,26.763248,18.14106561,0.946464554,0.169093691
74.875461,4.5401794,11.983482,26.844828,18.25351247,0.94630499,0.169126783
74.871902,4.5687022,11.982942,27.009932,18.40897481,0.946183198,0.169148971
74.873196,4.5831908,11.982403,27.09216,18.52896381,0.946004592,0.169170373
74.868667,4.6115838,11.982834,27.255966,18.65941578,0.945955956,0.16919539
74.869853,4.6261374,11.982834,27.338198,18.7691386,0.94581004,0.169218812
74.865,4.6549198,11.982727,27.502222,18.93895271,0.945654332,0.169256135
74.866618,4.6696678,11.983374,27.584666,19.04486603,0.945524187,0.169284914
74.869637,4.6978014,11.98208,27.749338,19.22789765,0.945332222,0.169294179
74.870177,4.7122682,11.982511,27.831998,19.31113202,0.945264527,0.169311172
74.865539,4.7413966,11.98208,27.997536,19.49849592,0.945069586,0.169350496
74.86651,4.7556688,11.982295,28.07998,19.57772182,0.945012628,0.169361545
74.859284,4.785208,11.982727,28.244004,19.77705535,0.944790331,0.169423854
74.86101,4.8136876,11.981972,28.409108,19.96037896,0.944609511,0.169441702
74.860686,4.8280034,11.982511,28.489388,20.05324144,0.944516581,0.169466729
74.858098,4.8570668,11.981972,28.654494,20.25343772,0.944296064,0.169504539
74.853568,4.872204,11.982187,28.737586,20.36272404,0.944166108,0.169541172
74.850764,4.9010512,11.98208,28.90096,20.55381193,0.94397177,0.169580914
74.855294,4.9158208,11.981756,28.983188,20.70572452,0.943730654,0.169609389
74.848823,4.9447762,11.982187,29.145914,20.87888673,0.943587451,0.169655898
74.855078,4.9592214,11.982295,29.22814,21.00270893,0.943422917,0.169672836
74.847745,4.9885228,11.98154,29.393464,21.20071781,0.943219412,0.169715376
74.846882,5.00286,11.981109,29.474826,21.30736902,0.943096659,0.169733318
74.844833,5.0324856,11.980893,29.640364,21.53751474,0.942819069,0.169784878
74.846451,5.0470182,11.980138,29.722376,21.67323423,0.942625668,0.169805341
74.843431,5.0759518,11.979923,29.886398,21.86490152,0.942445889,0.169841538
74.839656,5.0905268,11.979383,29.96841,21.97021328,0.942331353,0.169863093
74.840843,5.1195904,11.979815,30.13265,22.17088889,0.942135898,0.169901764
74.836529,5.1349006,11.98003,30.215094,22.30040509,0.941968062,0.169944883
74.836097,5.1641154,11.980354,30.37955,22.50447763,0.941767978,0.169986567
74.835235,5.178366,11.980462,30.457666,22.6273264,0.941610552,0.170018477
74.832862,5.2077754,11.979383,30.623204,22.86564843,0.941326915,0.170059782
74.831244,5.222718,11.979599,30.705864,22.97854733,0.941204644,0.170088619
74.82747,5.2519332,11.979599,30.86967,23.1826061,0.94100951,0.17013247
74.829303,5.267265,11.979923,30.952764,23.33403931,0.940798453,0.170171071
74.826715,5.2970636,11.979707,31.115704,23.60485132,0.94044621,0.170237627
74.827146,5.3264298,11.979383,31.281458,23.82897412,0.94021256,0.170274346
74.82995,5.3415672,11.979599,31.363038,23.99258784,0.939974893,0.170314088
74.824234,5.3710198,11.979491,31.527282,24.20165136,0.939779277,0.170361016
74.823372,5.3866976,11.979383,31.609944,24.38325259,0.939503289,0.170411488
74.817117,5.4159126,11.978952,31.772018,24.60748809,0.939271205,0.170461713
74.820783,5.4305956,11.979168,31.854464,24.73143914,0.939133311,0.170481462
74.819166,5.4604382,11.978413,32.02,24.99664786,0.9388155,0.170532111
74.816901,5.4754456,11.977119,32.101146,25.17662571,0.938542012,0.17056854
74.813018,5.5048984,11.977119,32.266468,25.37873614,0.938376905,0.170607406
